start_time,modify_sh_ver,update_time,create_time,time_offset,end_time,datauuid,heart_rate
2022-08-09 20:05:38.068,,2022-08-09 20:07:39.185,2022-08-09 20:07:39.185,UTC-0400,2022-08-09 20:07:38.068,4f046ae7-9ddc-406d-b9c9-825bc536a799,4f046ae7-9ddc-406d-b9c9-825bc536a799.heart_rate.json
2023-03-18 23:37:10.513,,2023-03-18 23:39:10.633,2023-03-18 23:39:10.633,UTC-0300,2023-03-18 23:39:10.513,4c4a410f-74d5-4308-b8d5-ea40db27b377,4c4a410f-74d5-4308-b8d5-ea40db27b377.heart_rate.json
2023-03-22 23:19:19.943,,2023-03-22 23:21:20.219,2023-03-22 23:21:20.219,UTC-0300,2023-03-22 23:21:19.943,4d39ea1f-0cce-40bd-98ab-a54fef9c6801,4d39ea1f-0cce-40bd-98ab-a54fef9c6801.heart_rate.json
2023-05-05 03:09:59.842,,2023-05-05 03:12:00.167,2023-05-05 03:12:00.167,UTC-0400,2023-05-05 03:11:59.842,203deb93-5245-4eb3-94cc-3a432538d14b,203deb93-5245-4eb3-94cc-3a432538d14b.heart_rate.json
2023-05-10 01:29:27.049,,2023-05-10 01:31:27.270,2023-05-10 01:31:27.270,UTC-0400,2023-05-10 01:31:27.049,c1242b05-74fc-4e07-8949-956c9e2f39cd,c1242b05-74fc-4e07-8949-956c9e2f39cd.heart_rate.json
2023-05-12 01:28:00.282,,2023-05-12 01:30:00.418,2023-05-12 01:30:00.418,UTC-0400,2023-05-12 01:30:00.282,5b1509ee-8334-41c7-8c83-54949f96fa78,5b1509ee-8334-41c7-8c83-54949f96fa78.heart_rate.json
2023-05-20 05:48:57.993,,2023-05-20 05:50:58.261,2023-05-20 05:50:58.261,UTC-0400,2023-05-20 05:50:57.993,f5f3e78a-381d-47d3-862c-7bce73a496e7,f5f3e78a-381d-47d3-862c-7bce73a496e7.heart_rate.json
2023-05-21 01:14:27.696,,2023-05-21 01:16:28.207,2023-05-21 01:16:28.207,UTC-0400,2023-05-21 01:16:27.696,30145c20-38ea-4650-8cd7-24722a81980a,30145c20-38ea-4650-8cd7-24722a81980a.heart_rate.json
2023-05-22 01:34:09.387,,2023-05-22 01:36:09.465,2023-05-22 01:36:09.465,UTC-0400,2023-05-22 01:36:09.387,81c02d0f-3eab-4611-85f7-04430cf14b16,81c02d0f-3eab-4611-85f7-04430cf14b16.heart_rate.json
2023-05-29 01:00:38.426,,2023-05-29 01:02:38.544,2023-05-29 01:02:38.544,UTC-0400,2023-05-29 01:02:38.426,2fd04f92-2bfd-4867-b663-5fc9711c86bd,2fd04f92-2bfd-4867-b663-5fc9711c86bd.heart_rate.json
2023-06-04 01:46:28.386,,2023-06-04 01:48:29.154,2023-06-04 01:48:29.154,UTC-0400,2023-06-04 01:48:28.386,31511265-cfdb-46e9-8291-fd719738fa4d,31511265-cfdb-46e9-8291-fd719738fa4d.heart_rate.json
2023-06-05 01:44:34.003,,2023-06-05 01:46:34.199,2023-06-05 01:46:34.199,UTC-0400,2023-06-05 01:46:34.003,152778f9-c1a9-4e71-97df-f0f3f43af440,152778f9-c1a9-4e71-97df-f0f3f43af440.heart_rate.json
2023-06-07 02:12:53.064,,2023-06-07 02:14:53.205,2023-06-07 02:14:53.205,UTC-0400,2023-06-07 02:14:53.064,70d3b70b-5065-403d-8ef7-61d926032b8e,70d3b70b-5065-403d-8ef7-61d926032b8e.heart_rate.json
2023-06-10 00:03:09.386,,2023-06-10 00:05:09.462,2023-06-10 00:05:09.462,UTC-0400,2023-06-10 00:05:09.386,b7c6604b-3b3b-43b2-baf3-0bd8b02c5920,b7c6604b-3b3b-43b2-baf3-0bd8b02c5920.heart_rate.json
2023-06-15 05:30:56.092,,2023-06-15 05:32:58.845,2023-06-15 05:32:58.845,UTC-0400,2023-06-15 05:32:56.092,b89ff81b-19a1-4df5-b4c8-d0fa3ebd60a8,b89ff81b-19a1-4df5-b4c8-d0fa3ebd60a8.heart_rate.json
2023-06-18 01:06:43.567,,2023-06-18 01:08:44.203,2023-06-18 01:08:44.203,UTC-0400,2023-06-18 01:08:43.567,0004f88c-f95f-4f61-91d4-af994cdc1368,0004f88c-f95f-4f61-91d4-af994cdc1368.heart_rate.json
2023-06-18 23:22:28.232,,2023-06-18 23:24:28.472,2023-06-18 23:24:28.472,UTC-0400,2023-06-18 23:24:28.232,7f2d4768-6bc6-46dd-97ff-2579b1e6aa75,7f2d4768-6bc6-46dd-97ff-2579b1e6aa75.heart_rate.json
2023-06-22 01:32:21.851,,2023-06-22 01:34:22.245,2023-06-22 01:34:22.245,UTC-0400,2023-06-22 01:34:21.851,ca395c38-d507-4b0a-9405-cf43caa7a674,ca395c38-d507-4b0a-9405-cf43caa7a674.heart_rate.json
2023-06-25 01:29:37.640,,2023-06-25 01:31:38.189,2023-06-25 01:31:38.189,UTC-0400,2023-06-25 01:31:37.640,ec43c81b-675f-48ae-8e2e-ca88ef9fe494,ec43c81b-675f-48ae-8e2e-ca88ef9fe494.heart_rate.json
2023-06-26 23:11:39.843,,2023-06-26 23:13:40.205,2023-06-26 23:13:40.205,UTC-0400,2023-06-26 23:13:39.843,6129152e-1bfb-4192-830b-cefc63e462ee,6129152e-1bfb-4192-830b-cefc63e462ee.heart_rate.json
2023-07-02 01:00:22.375,,2023-07-02 01:02:22.419,2023-07-02 01:02:22.419,UTC-0400,2023-07-02 01:02:22.375,1e03e7b5-5881-4ebb-8032-feff9128c061,1e03e7b5-5881-4ebb-8032-feff9128c061.heart_rate.json
2023-07-10 22:03:15.982,,2023-07-10 22:05:16.098,2023-07-10 22:05:16.098,UTC-0400,2023-07-10 22:05:15.982,87c2dd92-aa27-4548-8c85-bc1d8f736aa9,87c2dd92-aa27-4548-8c85-bc1d8f736aa9.heart_rate.json
2023-07-11 21:08:51.041,,2023-07-11 21:10:51.280,2023-07-11 21:10:51.280,UTC-0400,2023-07-11 21:10:51.041,736a5202-4506-4421-8a0e-4bcf98eef61d,736a5202-4506-4421-8a0e-4bcf98eef61d.heart_rate.json
2023-07-15 17:49:51.233,,2023-07-15 17:51:51.370,2023-07-15 17:51:51.370,UTC-0400,2023-07-15 17:51:51.233,ff70fe75-38c3-493b-9399-77f1d6a985be,ff70fe75-38c3-493b-9399-77f1d6a985be.heart_rate.json
2023-07-30 23:01:19.710,,2023-07-30 23:03:20.249,2023-07-30 23:03:20.249,UTC-0400,2023-07-30 23:03:19.710,f3a71001-2f6e-4ba5-ab85-0261240a4099,f3a71001-2f6e-4ba5-ab85-0261240a4099.heart_rate.json
2023-08-01 03:19:46.308,,2023-08-01 03:21:46.492,2023-08-01 03:21:46.492,UTC-0400,2023-08-01 03:21:46.308,b1caa5a4-2a35-434e-8035-8dcd0573a65b,b1caa5a4-2a35-434e-8035-8dcd0573a65b.heart_rate.json
2023-08-10 01:39:43.402,,2023-08-10 01:41:43.484,2023-08-10 01:41:43.484,UTC-0400,2023-08-10 01:41:43.402,9adf92d9-ed9f-40a1-9962-9c5129fd766a,9adf92d9-ed9f-40a1-9962-9c5129fd766a.heart_rate.json
2023-12-18 01:22:10.831,,2023-12-18 01:24:11.204,2023-12-18 01:24:11.204,UTC-0300,2023-12-18 01:24:10.831,63c25f43-0dfa-46d5-bc41-ddd07fb4f715,63c25f43-0dfa-46d5-bc41-ddd07fb4f715.heart_rate.json
2024-01-02 13:47:25.760,62600630.0,2024-01-02 13:49:26.021,2024-01-02 13:49:26.021,UTC-0300,2024-01-02 13:49:25.760,9fce71ab-051a-4f2b-bcef-27e979d1fa3b,9fce71ab-051a-4f2b-bcef-27e979d1fa3b.heart_rate.json
2024-01-02 17:35:33.618,62600630.0,2024-01-02 17:37:33.814,2024-01-02 17:37:33.814,UTC-0300,2024-01-02 17:37:33.618,29312e2e-deed-450d-9c0a-8df79927f8f1,29312e2e-deed-450d-9c0a-8df79927f8f1.heart_rate.json
2024-02-11 14:17:35.996,62620030.0,2024-02-11 14:19:36.166,2024-02-11 14:19:36.166,UTC-0500,2024-02-11 14:19:35.996,620cbf40-814e-4c1d-8377-7112c24136de,620cbf40-814e-4c1d-8377-7112c24136de.heart_rate.json
